IU Barcode,MDPI Barcode,Title(s) on Media,Series Title(s),Series Part(s),Country(s) of Origin,Title(s) Summary,Title(s) Original Identifiers,Title(s) Publishers,Title(s) Creators,Title(s) Genres,Title(s) Forms,Title(s) Dates,Title(s) Locations,Title(s) Notes,Title(s) Subject,Title(s) Name Authority,IUCat Title Control Number(s),Catalog Key(s),Alternative Title(s),Media Type,Medium,Version,Unit,Collection,Gauge,Generation,Generation Notes,Can Size,Footage,Duration,Reel Dates,Base,Stock,Original Identifiers,Reel Number,Multiple Items in Can,Picture Type,Frame Rate,Color,Aspect Ratio,Anamorphic,Sound,Captions/Subtitles,Format Type,Content Type,Sound Field,Track Count,Languages,Format Notes,Accompanying Documentation,Accompanying Documentation Location,Overall Condition,Condition Notes,Research Value,Research Value Notes,AD Strip,Shrinkage,Mold,Conditions,Missing Footage,Miscellaneous,Conservation Actions
30000149831525,,Cleveland Tour More Weldments,"","","","","","","","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,0.5,,,,,,Recanned
30000149831798,,Wheelabrator Blast Cleaning,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"A Roll, Camera Original",,800,,,,"","",,,No,"",,Color,"",,,No,"","","",,,Anscochrome,"Yes, wrapped in paper",,,,,,0.5,,,,,,Recanned
30000149831806,,Wheelabrator Blast Cleaning,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"B Roll, Camera Original",,800,,,,"","",,,No,"",,Color,"",,,No,"","","",,,Anscochrome,"Yes, wrapped in paper",,,,,,0.5,,,,,,Recanned
30000149832044,,City Planning,"","","","","",Frink Film Studio [TBD],"","","",1981 [TBD],"","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,0.5,,,,,,Recanned
30000149832093,,[Untitled Frink],"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",FFS-AA161,,No,"",,"","",,,No,"","","",,,,,,,,,,0.5,,,,,,Recanned
30000149832101,,See Saw Films,"","","","","","","","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",F020,,No,"",,"","",,,No,"","","",,,,,,,,,,0.5,,,,,,Recanned
30000149832150,,McGill Bearings,"","","","","","","","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,0.5,,,,,,Recanned
30000149832226,,Wheelabrator,"","",""," | Wheelabrator opening, tools of industry... industrial scene, helicopter, etc. Film and mag wound on same core.","",Frink Film Studio [TBD],"","","","1971/09 [TBD], 1967/05/01 [TBD], 1967/04/28 [TBD]","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,0.5,,,,,,Recanned
30000149832333,,1969 Skamper,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"B Roll, Camera Original",,800,,,,"","",,,No,"",,"Eco, Color","",,,No,"","","",,,,"Yes, wrapped in paper",,,,,,0.5,,,,,,Recanned
30000149832341,,1969 Skamper,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"A Roll, Camera Original",,800,,,,"","",,,No,"",,"Eco, Color","",,,No,"","","",,,,"Yes, wrapped in paper",,,,,,0.5,,,,,,Recanned
